epoch,batch_size,d_model,d_inner,d_k,d_v,n_head,n_layers,dropout,lr,event_interest,val_loglikelihood
5,64,128,256,64,128,4,4,0.39488762326598115,6.30063304089869e-05,7,-4729.1074
10,32,64,128,128,128,2,4,0.33014659072963004,2.0274974231871404e-05,7,-6369.2192
10,64,64,128,128,64,4,6,0.10991661332414573,2.6124602351832688e-05,7,-6965.5889
20,32,64,256,64,128,4,4,0.4894826951902206,9.090140621524966e-05,7,-6.3381
10,64,128,128,32,32,2,4,0.2125298527191288,5.256515619366117e-05,7,-1852.9434
10,16,64,128,128,128,4,6,0.24333401404851235,9.195408897293672e-05,7,-1.3553
20,16,256,128,128,128,8,2,0.49039281724780803,7.971593780196334e-05,7,-1.0131
20,64,256,256,64,128,8,2,0.4067175678947278,0.00010136395967822816,7,-1.3356
10,64,256,256,128,128,8,2,0.21296636956579862,7.157156760931133e-05,7,-6.1534
5,32,64,512,32,32,2,2,0.2039754537959556,0.00012429589748159253,7,-801.7303
20,16,256,512,128,64,8,2,0.468317487065952,0.00037713005629834965,7,-1.0444
20,16,256,512,128,64,8,2,0.4906508240071678,0.0004139910172802324,7,-1.0452
20,16,256,512,128,64,8,2,0.4213689868297659,0.0003896120969461834,7,-1.0445
20,16,256,512,128,64,8,2,0.4504123019283876,0.0002200741491180131,7,-1.0398
20,16,256,512,128,64,8,2,0.3371878740439851,0.0002329006491083099,7,-1.0393
20,16,256,128,32,32,8,6,0.34235516172333935,0.000198110847939248,7,-1.0147
5,16,128,128,32,32,8,6,0.28182999153872734,1.045575359979221e-05,7,-4234.7065
20,16,256,128,32,32,8,6,0.34188640424951805,0.00017699687835976365,7,-1.0202
20,16,256,128,32,32,8,6,0.12749264780481043,3.956742835938848e-05,7,-1.0495
20,16,256,128,32,32,2,6,0.3714887799220215,0.00015351816452823422,7,-2.2239
5,32,128,128,32,128,8,6,0.2833040672417075,0.00026460754940723464,7,-1.0865
20,16,256,128,32,32,8,6,0.3570549194742705,0.00017328573314695676,7,-1.0299
20,16,256,128,32,32,8,6,0.3142948163753885,0.0001433582293277171,7,-1.0181
20,16,256,128,32,32,8,6,0.30710638857576433,4.245121050041985e-05,7,-1.2827
20,16,256,128,32,32,8,6,0.24952286861212178,0.0001237675120449097,7,-1.0082
20,16,256,128,64,32,8,6,0.15756929815637732,0.0002937239362750818,7,-1.0214
20,16,256,128,32,32,8,6,0.2661299879631951,0.00011425248259134658,7,-1.0146
20,16,256,128,32,128,8,6,0.24243924015490137,0.00011780618515782538,7,-0.9702
20,32,256,128,64,128,4,2,0.18347958925769076,7.078103285763253e-05,7,-1.8171
5,16,128,256,32,128,2,4,0.24869441662853553,5.8425563619884214e-05,7,-65.5334
5,64,128,128,64,128,4,4,0.24656868654208192,3.161791077314188e-05,7,-4925.7329
20,16,256,128,32,128,8,6,0.26554776569904454,0.00010985792795555071,7,-0.9718
20,16,256,128,32,128,8,6,0.229289363244084,7.780485136332545e-05,7,-0.9709
20,16,256,128,32,128,8,6,0.23039597758714647,0.00012230748642054308,7,-0.9698
20,16,64,128,32,128,8,6,0.1709101464144903,5.131480790438266e-05,7,-0.9572
10,32,64,256,32,128,4,6,0.15736111846386036,2.0967613315727446e-05,7,-1861.9712
20,16,64,128,32,128,2,6,0.18021467805744693,5.160349860964484e-05,7,-12.7864
10,64,64,128,32,128,8,6,0.22638663347584911,8.141991027946623e-05,7,-43.3027
20,16,64,128,32,128,8,4,0.10095943276969274,4.689975139380249e-05,7,-1.3495
10,64,64,256,32,128,4,6,0.13395667549358248,3.1209546566283585e-05,7,-2761.1538
20,32,64,128,32,128,8,6,0.18681573852821431,9.101635242721362e-05,7,-0.9999
20,16,256,128,32,128,8,6,0.279757870391174,6.282959355001185e-05,7,-0.978
20,16,256,128,32,128,8,6,0.22486847058938061,0.00011767258711570238,7,-0.9698
20,16,64,128,32,128,8,6,0.2259619807421288,8.22172412350162e-05,7,-0.9259
20,16,64,128,32,128,8,6,0.20357719792590612,0.00014021662450304243,7,-0.9102
20,16,64,128,64,128,2,6,0.2039932985971591,0.00014054879333396238,7,-1.1334
20,16,64,128,32,128,8,4,0.1610471358717079,9.628170680918835e-05,7,-1.1351
20,16,64,256,32,128,8,6,0.220705200841409,6.003248639049397e-05,7,-1.1883
10,64,64,512,32,128,8,6,0.20329980388147129,8.508871715241243e-05,7,-12.3672
20,16,64,128,32,128,8,6,0.12594123242456332,0.00030911149558864807,7,-0.9114
5,16,64,128,128,64,8,6,0.1299353558635844,0.00032193836226961385,7,-1.06
20,16,64,128,32,128,8,6,0.16856565066944196,0.00020026613962739168,7,-0.9091
20,16,64,128,32,128,8,6,0.17087687726418888,0.0004472245902229324,7,-0.9142
20,16,64,128,32,128,8,6,0.14688806567689147,0.0004478980991586457,7,-0.914
20,16,64,128,32,128,8,6,0.14259574863159322,0.00047919957539237164,7,-0.9149
20,16,64,512,32,128,8,6,0.11648301358872631,0.00042234556344041365,7,-0.9693
20,16,64,128,32,128,8,6,0.1375163361030461,0.0004982386593967127,7,-0.9144
20,32,64,128,128,64,2,4,0.14485271681276676,0.00034190571062999467,7,-1.354
20,16,64,128,64,128,8,6,0.11525527569235323,0.000254964452926173,7,-1.0199
20,16,64,128,32,128,4,2,0.14507893033416003,0.00048743613367585175,7,-1.0386
20,16,64,512,32,128,8,6,0.19419576995618437,0.00036670256430823263,7,-0.9696
20,16,64,128,32,128,8,6,0.13905374711371282,0.00046828693986424383,7,-0.9147
20,16,64,128,32,128,8,6,0.17203978461735267,0.00043304988310745204,7,-0.9143
20,16,64,128,32,128,8,6,0.1698622650326686,0.00028170686706531213,7,-0.9111
20,16,64,128,32,128,8,6,0.1749697166886828,0.00020521427639703135,7,-0.9092
5,16,64,128,32,128,8,6,0.15847496259303062,0.00020651098227343384,7,-0.9925
20,16,64,128,32,64,8,6,0.11992003263760449,0.0002862188693404228,7,-1.0087
20,16,128,128,32,128,8,6,0.10292957475590181,0.00023432820676120593,7,-1.0169
20,64,64,256,128,128,8,2,0.16379570382502706,0.00018412556811690635,7,-1.566
10,16,64,128,32,128,8,6,0.19387787895167763,0.00031944363098518515,7,-0.9137
10,16,64,128,64,128,8,6,0.19565392192509667,0.00016058743772459942,7,-1.0383
10,16,64,128,32,128,8,6,0.1724286929284299,0.0003079344664388006,7,-0.9133
10,16,64,128,32,128,8,6,0.2112151227681352,0.0003047299786036774,7,-0.9147
10,16,64,128,32,128,8,6,0.1508247656389026,0.0002644517129162946,7,-0.9141
10,16,64,128,32,128,8,6,0.17291452217438597,0.00034887507079942287,7,-0.9136
10,16,64,128,32,128,2,6,0.1860710416627712,0.00023022734583910974,7,-2.3484
10,32,64,128,32,128,8,6,0.17475957869381717,0.00036574154049614344,7,-0.9394
10,16,128,128,32,128,4,6,0.19837991952933448,0.0002125605054431702,7,-1.1979
10,16,64,128,32,64,8,4,0.1249744978383032,0.00033163985727171336,7,-1.1087
10,16,64,512,32,128,8,6,0.21395036642467993,0.00018961634815247702,7,-0.9857
10,16,64,128,32,128,8,2,0.18259783955993797,0.0002792719060619379,7,-1.1984
10,16,64,128,32,128,8,6,0.1516727539128201,0.00039645968782999695,7,-0.9141
10,16,64,128,32,128,8,6,0.16570200334276258,0.00024947060792145553,7,-0.9153
10,16,64,128,32,128,8,6,0.18700868405712195,1.119063922190543e-05,7,-2046.4886
10,16,64,128,32,128,8,6,0.39485343969757525,0.0003061064115687181,7,-0.927
10,16,64,256,32,128,8,6,0.1288508333708807,0.00035460445705674337,7,-1.1303
5,64,64,128,32,128,8,6,0.17631408528717898,0.00016451767405658015,7,-75.0826
20,16,128,128,128,128,8,6,0.1530298249167964,0.0002391062806277348,7,-1.0811
20,16,64,128,32,32,8,6,0.21109342872328818,0.00014558457009351938,7,-0.9217
10,32,64,128,64,128,2,6,0.16316953619164193,0.00040008159674486847,7,-1.3755
20,16,64,128,32,128,4,6,0.23816528711431695,0.0002788751144225574,7,-0.9603
10,16,64,128,32,128,8,6,0.14595174057280724,0.0002652198982146199,7,-0.9154
10,16,64,128,32,128,8,6,0.1524613032822348,0.0003183267497288565,7,-0.9138
10,16,64,128,32,128,8,6,0.19364256925435694,0.0003245413291306045,7,-0.9134
10,16,64,128,32,128,8,6,0.19520788011354234,0.00032304658548740846,7,-0.9139
10,16,64,128,32,128,8,6,0.18807254135090845,0.00021433756485562342,7,-0.9184
10,16,64,128,32,128,8,4,0.16734966899413645,0.0002025385514691965,7,-1.1418
10,16,64,128,32,128,8,6,0.20397623608030974,0.0003047204219526372,7,-0.9149
10,16,64,512,32,128,8,6,0.17858121059656573,0.0003747784809464071,7,-0.9676
10,16,64,128,32,64,8,6,0.15633878757005173,0.00034416499858159176,7,-1.012
5,64,64,256,32,128,8,6,0.10989849752776518,0.000249851413962562,7,-7.4891
10,16,64,128,32,128,8,6,0.19579622614406647,0.00030588653280090496,7,-0.9144
10,16,64,128,32,128,8,6,0.2179577319132195,0.00031700881136302025,7,-0.914
10,16,64,128,32,128,8,6,0.19171852655718524,0.00022701043571467393,7,-0.9176
10,16,64,128,32,128,8,6,0.18060220681733255,0.00033402339266896936,7,-0.9124
10,16,64,128,32,128,8,6,0.13465277591874475,0.0002822088347787519,7,-0.9145
10,16,64,128,32,32,8,2,0.1772623494342788,0.00038520233759249537,7,-1.1266
10,16,64,128,128,128,8,6,0.23524588762399143,0.0003411078791925483,7,-1.0627
10,16,128,128,64,128,8,6,0.2066997449128164,0.00013461371896688213,7,-1.005
20,32,64,128,32,128,2,6,0.1666643210564296,0.0001943315009478792,7,-3.0156
20,16,64,128,32,128,4,6,0.46487796583482405,0.00017067598739967118,7,-1.0903
10,16,64,128,32,128,8,6,0.18094025668405594,0.0003304339911259272,7,-0.9126
10,16,64,128,32,128,8,6,0.18313912000557506,0.0004267312896210602,7,-0.9131
10,16,64,128,32,128,8,6,0.26075805406283814,0.00041409715313352966,7,-0.9134
10,16,64,128,32,128,8,6,0.25531872783272574,0.00042475698524477805,7,-0.9134
10,16,64,128,32,128,8,6,0.2721658077571567,0.0004115529429504535,7,-0.914
10,16,64,128,32,128,8,4,0.25979739645391864,0.00043815549385691025,7,-1.1165
20,16,64,128,32,128,8,6,0.2949254230926526,0.00038271300564123663,7,-0.9153
5,16,64,128,32,128,8,6,0.2522531598420136,0.00044956780868284996,7,-0.9353
10,16,64,512,32,64,8,6,0.2951930174432496,0.0004162882378218902,7,-1.1659
20,16,64,128,32,128,8,6,0.18252832537132366,0.00037647634628303105,7,-0.9127
20,16,64,128,32,128,8,6,0.1830498111807669,0.00036022987222759977,7,-0.9124
20,16,64,128,32,128,8,6,0.3203840715143586,0.00027296817648186336,7,-0.9122
20,16,64,128,32,128,8,6,0.30819690007310885,0.00026048013671694685,7,-0.9119
20,16,64,128,32,128,8,6,0.3255337004303451,0.0002782900554625714,7,-0.9126
20,16,64,128,32,128,8,6,0.32555014480701894,0.00026890815587725733,7,-0.9123
20,16,64,256,32,128,8,6,0.3225932494403936,0.0002638196947700321,7,-1.1243
20,64,128,128,32,128,8,2,0.3529079244544738,0.00022047933341949022,7,-1.2016
20,16,64,128,128,32,8,6,0.3105793772675211,0.00024250302032524884,7,-0.9151
20,16,64,128,32,128,8,6,0.3306593446150436,0.00028373820669826095,7,-0.9126
20,16,64,128,64,128,8,6,0.32739709565796477,0.0002836656643537929,7,-1.0174
20,16,64,128,32,128,8,6,0.3359679637740224,0.0002645589406082264,7,-0.912
20,16,64,128,32,128,8,6,0.3372058034821444,0.00026519535788739726,7,-0.9119
20,16,64,128,32,128,8,6,0.3654432803935449,0.0002496674909111129,7,-0.912
20,16,64,128,32,128,8,6,0.3512136500306691,0.0002563168997711131,7,-0.9118
20,16,64,128,32,128,8,6,0.3631733483880981,0.00017826832622279122,7,-0.914
20,32,64,128,32,128,2,6,0.3853263719905362,0.0002504733220237464,7,-3.0061
20,16,64,128,32,128,8,6,0.3471379841666403,0.00022810101245899074,7,-0.9116
20,16,64,128,32,128,4,6,0.3756623462708808,0.00020644451076543284,7,-1.001
20,16,64,128,32,128,8,4,0.3430898864379872,0.00022531512854198296,7,-1.1199
20,16,64,128,32,128,8,6,0.3489697098133659,0.00018924286093225415,7,-0.9123
20,16,64,128,32,128,8,6,0.34868963347337756,0.0001983083230672046,7,-0.9121
20,16,64,128,32,128,8,6,0.34357260502006964,0.00018706007196252295,7,-0.9126
20,16,64,128,32,128,8,6,0.3521621061569203,0.00015751540304613686,7,-0.9148
20,16,64,128,32,128,8,6,0.31864058313686344,0.00019792318700922242,7,-0.9119
20,16,64,128,32,128,8,6,0.31693079730111495,0.0002362160820278561,7,-0.9119
20,16,64,128,32,128,8,6,0.33533980654699214,0.00023811204814207785,7,-0.9116
20,16,64,512,32,128,8,6,0.367298449014142,0.00023768378294972538,7,-0.9697
20,16,64,128,32,128,8,6,0.3074505438818758,0.00020402344941650044,7,-0.9118
20,16,64,256,32,64,8,6,0.3056085640099315,0.00021641762186474183,7,-1.088
20,64,128,128,32,128,8,2,0.3373862904401893,0.00017070624969689404,7,-1.3732
20,16,64,128,32,128,8,6,0.31438626839946515,0.0001965276492845572,7,-0.9122
20,16,64,128,32,128,8,6,0.33577883886405807,0.0002315134462327018,7,-0.9117
20,16,64,128,32,128,8,6,0.36146469994768904,0.00024637247214530367,7,-0.9119
20,16,64,128,32,128,8,6,0.2973455840120231,0.00022854070094798187,7,-0.9118
20,16,64,128,32,128,8,6,0.29881740650046695,0.00022698715400141896,7,-0.9115
20,16,64,128,32,128,8,6,0.2863172646318199,0.00022629035185362182,7,-0.9114
20,16,256,128,32,32,8,6,0.3010087135527049,0.00022035516245932072,7,-1.0051
20,16,64,128,128,128,8,6,0.28899599864668335,0.00020474545654399596,7,-1.0592
20,16,64,128,32,128,8,6,0.3035853211500441,0.00014977084903527923,7,-0.914
20,32,64,128,64,128,2,6,0.2849174210584467,0.00018101321545486556,7,-1.797
20,16,64,128,32,128,8,6,0.3138845376295057,0.000228609548757248,7,-0.912
20,16,64,128,32,128,8,6,0.27728863840956897,0.00022798230520676055,7,-0.9114
20,16,64,128,32,128,8,6,0.27189119114108085,0.00021182426565687998,7,-0.9112
20,16,64,128,32,128,8,6,0.28145769228634404,0.0002192878787921083,7,-0.9115
20,16,64,128,32,128,8,6,0.2759825732362262,0.00021518089092442916,7,-0.9112
20,16,64,128,32,128,8,6,0.27110054735580374,0.00021188351304018117,7,-0.9112
20,16,64,128,32,128,4,6,0.2652577938858348,0.00010695698862009537,7,-1.0881
20,16,64,128,32,128,8,6,0.2769646689642316,0.00020960526211650875,7,-0.9112
20,16,64,128,32,128,8,6,0.27536088263867253,0.00021404277528272407,7,-0.9112
20,16,64,128,32,128,8,4,0.2736315266374329,0.00016691555417455318,7,-1.1191
20,16,64,128,32,128,8,6,0.2821767056007896,0.000214197390307621,7,-0.9114
20,16,64,128,32,128,8,6,0.2781362622375296,0.00022496580065179813,7,-0.9114
20,16,64,128,32,128,8,6,0.27754716370942556,0.0002077054823361557,7,-0.9113
20,16,64,128,32,128,8,6,0.27519753369873456,0.00017995044492685665,7,-0.9112
20,16,64,128,32,128,8,6,0.2770264328703589,0.00018046684714364872,7,-0.9113
20,16,64,128,32,128,8,6,0.2729260050779393,0.00017637620541778863,7,-0.9114
20,16,64,128,32,128,8,6,0.2737664984137624,0.00013745240928525866,7,-0.9138
20,16,64,512,32,64,8,6,0.2771780298390135,0.00018109771668430155,7,-1.1579
20,16,64,128,32,128,8,6,0.28860014900954467,0.00015436914355853814,7,-0.9128
20,16,64,128,32,128,8,6,0.2662095856168867,0.00017660303913015002,7,-0.9108
20,16,64,128,32,128,8,6,0.2672340308222978,0.00017771410991552388,7,-0.9109
20,16,64,128,32,128,8,6,0.26656312566357404,0.00018797436082837996,7,-0.9107
20,16,64,128,32,128,8,6,0.24306220463664693,0.00016722872168978568,7,-0.9106
20,16,64,128,32,128,8,6,0.24624691455414902,0.00016371253851986452,7,-0.9108
20,16,64,128,32,128,8,6,0.26339581156294173,0.00016586763786395576,7,-0.9111
20,16,64,256,32,128,8,6,0.2460853284349688,0.0001320530788760639,7,-1.1257
20,64,256,128,32,128,8,6,0.2647908923914047,0.00016229157471007197,7,-1.0174
20,16,128,128,32,128,8,6,0.25670534173662396,0.00015767263652071434,7,-1.0179
5,16,64,128,128,32,8,2,0.23798767460951997,0.00014383206229232146,7,-16.6756
20,16,64,128,32,128,8,6,0.24887410070199847,0.0001781884547147275,7,-0.9106
